City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
204,Portland,US,60.1,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
205,Port Blair,IN,80.62,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
208,Padang,ID,76.5,broken clouds,-0.9492,100.3543,Mercure Padang
211,Chilmari,BD,62.33,broken clouds,25.5559,89.6715,Naimul islam Badhon hotel
212,Conceicao Da Barra,BR,80.55,clear sky,-18.5933,-39.7322,Cricaré Praia Hotel
214,Sahuaripa,MX,71.38,overcast clouds,29.05,-109.2333,Estatua de Sahuaripa
216,Thakurgaon,BD,60.37,broken clouds,26.0333,88.4667,Chowdhury Khokon Fisheries Head Office
217,Port Lincoln,AU,64.17,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
218,Vao,NC,76.66,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
220,Lamu,KE,79.02,few clouds,-2.2717,40.902,Lamu House
222,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
224,Hermanus,ZA,68.81,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
225,Karratha,AU,89.82,few clouds,-20.7377,116.8463,ibis Styles Karratha
229,Bathsheba,BB,84.81,few clouds,13.2167,-59.5167,Atlantis Hotel
230,San Patricio,US,62.69,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
231,Yulara,AU,80.44,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
233,Souillac,MU,80.37,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
234,Port Macquarie,AU,64.36,clear sky,-31.4333,152.9167,Rydges Port Macquarie
235,Tsiroanomandidy,MG,68.11,overcast clouds,-18.7667,46.0333,Hotel Ravinala
236,Namibe,AO,67.98,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
238,Nisia Floresta,BR,86.81,light rain,-6.0911,-35.2086,Rancho Crepusculo
239,The Valley,AI,80.74,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
241,Kieta,PG,79.88,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
246,Camana,PE,74.23,overcast clouds,-16.6228,-72.7111,Hostal Morales
249,Vila Franca Do Campo,PT,60.19,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
250,Lompoc,US,78.13,broken clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
252,Yeppoon,AU,71.38,overcast clouds,-23.1333,150.7333,Villa Mar Colina
253,La Macarena,CO,94.15,broken clouds,2.1837,-73.7849,Hotel Punto Verde
254,Dingle,PH,71.49,clear sky,10.9995,122.6711,SEGAYA PROPERTY
256,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,Posada Villaven C.A.
260,Cabo San Lucas,MX,83.52,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
265,Placido De Castro,BR,85.42,broken clouds,-10.3353,-67.1856,Hotel Carioca
266,Grand Gaube,MU,80.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
267,Lebu,CL,65.64,clear sky,-37.6167,-73.65,Hostal Las Lilas
268,Oliveira Dos Brejinhos,BR,80.53,broken clouds,-12.3169,-42.8961,Hotel Paraiso
269,Ilebo,CD,71.44,light rain,-4.3167,20.5833,Hôtel BUMAK
270,Victor Harbor,AU,64.8,few clouds,-35.5667,138.6167,McCracken Country Club
276,Sinnamary,GF,80.08,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
277,Cayenne,GF,82.44,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
283,Porto Walter,BR,74.16,overcast clouds,-8.2686,-72.7439,Secretaria de saúde
284,Caluquembe,AO,63.14,broken clouds,-13.7833,14.6833,Hotel Kalukembe
286,Bengkulu,ID,74.57,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
287,Lagoa,PT,60.53,overcast clouds,39.05,-27.9833,Casa Das Faias
288,Sorong,ID,81.21,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
292,Tabuk,PH,66.74,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
295,Tabuleiro Do Norte,BR,77.56,overcast clouds,-5.2467,-38.1306,Hotel Central I
296,Ambilobe,MG,76.23,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
297,Turbat,PK,62.29,clear sky,26.0023,63.044,Mubashar Quarters
298,Mar Del Plata,AR,75.22,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
300,Lorengau,PG,81.41,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
302,Sumbe,AO,75.85,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
303,Chau Doc,VN,68.65,scattered clouds,10.7,105.1167,JADE AND SAPPHIRE GUESTHOUSE
305,Basco,PH,71.22,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
306,Pahrump,US,63.05,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
310,Hobyo,SO,77.4,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
311,Makaha,US,76.98,few clouds,21.4694,-158.2175,Hawaiian Princess Resort
312,Mahina,PF,82.17,moderate rain,-17.5065,-149.489,Guest Beach Bungalow Tahiti
313,Wollongong,AU,69.55,light rain,-34.4333,150.8833,Flinders Motel
314,Mareeba,AU,71.44,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
315,Barra Do Garcas,BR,72.18,light rain,-15.89,-52.2567,Hotel Pousada Tropical
316,Pemangkat,ID,75.74,overcast clouds,1.1667,108.9667,Ramah Kost KITA
321,Mkuranga,TZ,81.59,overcast clouds,-7.118,39.2078,Luminoso Lodge
322,Cururupu,BR,82.74,few clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
324,Poum,NC,80.62,clear sky,-20.2333,164.0167,Gîte kajeon
326,Vilhena,BR,86.22,scattered clouds,-12.7406,-60.1458,Hotel Mirage
327,Makakilo City,US,75.61,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
328,Arraial Do Cabo,BR,80.56,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
333,Comodoro Rivadavia,AR,93.06,clear sky,-45.8667,-67.5,Austral Hotel
336,Muddebihal,IN,68.79,clear sky,16.3333,76.1333,FAkruddin chittapur
337,Lazaro Cardenas,MX,84.36,few clouds,17.9583,-102.2,quinta antigua
339,Lukaya,UG,73.45,overcast clouds,-0.1489,31.8748,lemba salongo
346,Port Elizabeth,ZA,70.11,broken clouds,-33.918,25.5701,39 On Nile Guest House
347,Ixtapa,MX,85.23,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
348,Sattahip,TH,77.99,scattered clouds,12.6664,100.9007,Pob Choke Residences ( พบโชคเรดซิเด้นท์ )
349,Atar,MR,72.79,overcast clouds,20.5169,-13.0499,Oumou Elghoura
351,Libreville,GA,79.93,light rain,0.3925,9.4537,Le Méridien Re-Ndama
352,Majene,ID,77.22,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
354,Matehuala,MX,66.24,overcast clouds,23.65,-100.65,Las Palmas Midway Inn
355,Miri,MY,77.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
356,Mount Isa,AU,80.37,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
359,Buriti Bravo,BR,79.59,overcast clouds,-5.8372,-43.8336,Hotel Fazenda
360,Knysna,ZA,67.8,broken clouds,-34.0363,23.0471,Protea Hotel by Marriott Knysna Quays
361,Wajir,KE,86.11,broken clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
362,Pacific Grove,US,70.81,clear sky,36.6177,-121.9166,Lovers Point Inn
365,Caucaia,BR,85.06,scattered clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
370,Coihaique,CL,72.21,few clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
371,Swellendam,ZA,66.58,overcast clouds,-34.0226,20.4417,De Kloof Luxury Estate boutique Hotel & SPA
372,Dubbo,AU,66.33,clear sky,-32.25,148.6167,Quality Inn Dubbo International
376,Valparaiso,CL,77.23,clear sky,-33.0393,-71.6273,Hotel Ultramar
379,San Ignacio,BZ,80.74,scattered clouds,17.1561,-89.0714,Rainforest Haven Inn
380,Panama City,PA,90.37,scattered clouds,8.9936,-79.5197,Riande Urban Hotel
387,Lethem,GY,92.1,overcast clouds,3.3803,-59.7968,Savannah Inn
390,Luanda,AO,78.8,broken clouds,-8.8368,13.2343,Hotel Fórum
393,Hirara,JP,63.39,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
395,Sokoni,TZ,82.69,overcast clouds,-6.4333,39.55,Ujamaa Beach Resort
400,Dogondoutchi,NE,76.23,clear sky,13.6393,4.0287,Hôtel Alheri Maison Alheri
401,Dallas,US,64.15,clear sky,32.7668,-96.7836,CANVAS Hotel | Dallas
402,Codrington,AU,63.32,light rain,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
406,Hokitika,NZ,61.77,clear sky,-42.7167,170.9667,Beachfront Hotel Hokitika
411,Tual,ID,83.44,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
412,Isangel,VU,80.71,broken clouds,-19.55,169.2667,Tanna Lodge
413,Nuevitas,CU,83.64,few clouds,21.5453,-77.2644,Hotel Caonaba
415,Ankazoabo,MG,71.74,overcast clouds,-22.2833,44.5167,ENCEIN BUREAU CISCO
416,Coahuayana,MX,90.88,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
