City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
94,Georgetown,5.4112,100.3354,91.35,52,20,10.0,MY,2022-01-09 05:30:19
95,Rawson,-43.3002,-65.1023,73.99,55,88,15.99,AR,2022-01-09 05:37:34
96,Bredasdorp,-34.5322,20.0403,63.72,94,22,3.44,ZA,2022-01-09 05:30:30
97,Nusaybin,37.0778,41.2178,48.74,58,0,4.47,TR,2022-01-09 05:37:35
98,Cidreira,-30.1811,-50.2056,71.82,65,32,16.37,BR,2022-01-09 05:30:35
99,Macau,22.2006,113.5461,69.85,73,20,6.91,MO,2022-01-09 05:34:04
100,Dikson,73.5069,80.5464,-3.66,95,100,12.03,RU,2022-01-09 05:37:35
101,Xuddur,4.1213,43.8894,77.65,56,3,20.54,SO,2022-01-09 05:37:36
102,Yorosso,12.3536,-4.7761,62.44,17,8,8.43,ML,2022-01-09 05:37:36
103,Narsaq,60.9167,-46.05,16.02,68,100,0.63,GL,2022-01-09 05:37:36
104,Bud,39.447,-86.1758,42.89,95,100,19.04,US,2022-01-09 05:30:30
105,Chuy,-33.6971,-53.4616,67.01,73,0,10.33,UY,2022-01-09 05:37:37
106,Caravelas,-17.7125,-39.2481,76.87,90,100,8.41,BR,2022-01-09 05:37:37
107,Kavaratti,10.5669,72.642,79.56,68,5,7.7,IN,2022-01-09 05:37:37
108,Aqtobe,50.2797,57.2072,10.49,85,0,0.0,KZ,2022-01-09 05:37:38
109,Menongue,-14.6585,17.691,64.27,95,100,1.48,AO,2022-01-09 05:37:38
110,Mendi,-6.1761,143.6513,60.85,90,100,3.04,PG,2022-01-09 05:37:38
111,Tasiilaq,65.6145,-37.6368,32.16,89,100,29.42,GL,2022-01-09 05:37:39
112,Bharatpur,27.2167,77.4833,61.5,81,100,4.92,IN,2022-01-09 05:37:39
113,Brae,60.3964,-1.353,42.71,90,100,3.62,GB,2022-01-09 05:37:39
114,Souillac,-20.5167,57.5167,83.35,83,40,12.66,MU,2022-01-09 05:37:40
115,Usinsk,65.9939,57.5281,3.9,96,100,13.49,RU,2022-01-09 05:37:40
116,Pangnirtung,66.1451,-65.7125,-17.73,98,100,2.1,CA,2022-01-09 05:37:40
117,Gamba,-2.65,10.0,77.05,92,100,2.98,GA,2022-01-09 05:37:41
118,Tal,35.4791,72.2439,37.96,52,33,0.25,PK,2022-01-09 05:37:41
119,Riyadh,24.6877,46.7219,50.14,27,14,6.04,SA,2022-01-09 05:26:07
120,La Raya De Santa Maria,8.1667,-80.8167,71.56,85,1,1.68,PA,2022-01-09 05:37:41
121,Lundazi,-12.2929,33.1782,67.86,84,100,2.77,ZM,2022-01-09 05:37:42
122,Clyde River,70.4692,-68.5914,-10.97,77,100,19.57,CA,2022-01-09 05:29:24
123,Vila Velha,-20.3297,-40.2925,73.35,95,100,3.44,BR,2022-01-09 05:37:42
124,Hamilton,39.1834,-84.5333,42.82,88,100,4.0,US,2022-01-09 05:33:15
125,San Julian,21.0167,-102.1667,55.67,30,96,2.64,MX,2022-01-09 05:37:43
126,Eucaliptus,-17.5833,-67.5167,48.34,72,96,6.62,BO,2022-01-09 05:37:43
127,Saint-Paul,-21.0096,55.2707,84.29,78,12,2.06,RE,2022-01-09 05:37:43
128,Nouadhibou,20.931,-17.0347,67.98,45,93,10.36,MR,2022-01-09 05:37:44
129,Hobyo,5.3505,48.5268,80.2,61,89,21.52,SO,2022-01-09 05:37:44
130,Koroni,36.8,21.95,52.07,75,84,9.17,GR,2022-01-09 05:37:45
131,Arraial Do Cabo,-22.9661,-42.0278,73.58,80,100,9.31,BR,2022-01-09 05:37:45
132,Ilhabela,-23.7781,-45.3581,71.96,88,92,5.3,BR,2022-01-09 05:37:45
133,Malatya,38.5,38.0,32.05,93,100,3.44,TR,2022-01-09 05:33:25
134,Zaraza,9.3503,-65.3245,74.93,74,80,7.29,VE,2022-01-09 05:37:46
135,Emmen,52.7792,6.9069,42.98,92,100,5.99,NL,2022-01-09 05:37:46
136,Rosetta,31.4044,30.4164,49.82,68,0,18.43,EG,2022-01-09 05:37:46
137,Mlawa,53.1128,20.3841,28.02,94,15,8.34,PL,2022-01-09 05:37:47
138,Roald,62.5833,6.1333,33.94,55,94,10.36,NO,2022-01-09 05:38:47
139,Kindu,-2.95,25.95,73.87,94,100,2.62,CD,2022-01-09 05:38:48
140,Olinda,-8.0089,-34.8553,80.33,74,40,0.0,BR,2022-01-09 05:38:48
141,Lagoa,39.05,-27.9833,58.5,68,77,10.04,PT,2022-01-09 05:32:06
142,Margate,51.3813,1.3862,39.69,78,30,1.99,GB,2022-01-09 05:30:34
143,Islamabad,33.7104,73.1338,53.83,74,37,2.89,PK,2022-01-09 05:38:06
144,Concarneau,47.875,-3.9225,47.17,81,96,19.15,FR,2022-01-09 05:38:48
145,Yanam,16.7333,82.2167,81.0,52,19,7.96,IN,2022-01-09 05:38:49
146,Klaksvik,62.2266,-6.589,36.52,88,64,18.14,FO,2022-01-09 05:32:10
147,Trairi,-3.2778,-39.2689,76.91,82,61,6.6,BR,2022-01-09 05:38:49
148,Laguna,38.421,-121.4238,49.84,93,0,0.0,US,2022-01-09 05:38:49
149,Saint-Augustin,51.226,-58.6502,-5.48,81,1,11.97,CA,2022-01-09 05:38:50
150,Nioro,13.35,-15.75,70.83,19,97,5.64,GM,2022-01-09 05:38:50
