,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
243,Burgeo,CA,47.6167,-57.6152,21.74,68,100,18.25,overcast clouds
244,Naze,JP,28.3667,129.4833,53.62,65,100,13.62,overcast clouds
245,Bogorodskoye,RU,56.55,37.8833,0.09,100,81,3.44,broken clouds
246,Camana,PE,-16.6228,-72.7111,74.23,76,100,8.55,overcast clouds
247,Songjianghe,CN,42.1859,127.479,0.0,97,100,4.59,light snow
248,Kosovo Polje,XK,42.6394,21.0961,24.84,78,75,7.0,broken clouds
249,Vila Franca Do Campo,PT,37.7167,-25.4333,60.19,82,97,13.35,overcast clouds
250,Lompoc,US,34.6391,-120.4579,78.13,48,75,3.0,broken clouds
251,Totskoye,RU,52.5248,52.7623,2.46,97,90,4.52,overcast clouds
252,Yeppoon,AU,-23.1333,150.7333,71.38,76,92,11.1,overcast clouds
253,La Macarena,CO,2.1837,-73.7849,94.15,30,76,4.79,broken clouds
254,Dingle,PH,10.9995,122.6711,71.49,93,10,7.02,clear sky
255,Beloha,MG,-25.1667,45.05,76.89,88,98,8.84,overcast clouds
256,San Cristobal,VE,7.7669,-72.225,75.38,42,69,0.63,broken clouds
257,Igarka,RU,67.4667,86.5833,-16.44,98,99,11.34,overcast clouds
258,Saskylakh,RU,71.9167,114.0833,-36.71,100,67,5.91,broken clouds
259,Aksu,CN,41.1231,80.2644,22.37,58,16,2.62,few clouds
260,Cabo San Lucas,MX,22.8909,-109.9124,83.52,60,40,10.36,scattered clouds
261,Killybegs,IE,54.6333,-8.45,47.91,87,99,11.52,overcast clouds
262,Bethel,US,41.3712,-73.414,40.5,57,0,4.0,clear sky
263,Portsoy,GB,57.6814,-2.6896,51.19,80,100,13.0,overcast clouds
264,Senneterre,CA,48.3835,-77.2328,3.42,89,100,8.32,overcast clouds
265,Placido De Castro,BR,-10.3353,-67.1856,85.42,66,74,3.02,broken clouds
266,Grand Gaube,MU,-20.0064,57.6608,80.38,84,99,7.0,overcast clouds
267,Lebu,CL,-37.6167,-73.65,65.64,73,3,9.57,clear sky
268,Oliveira Dos Brejinhos,BR,-12.3169,-42.8961,80.53,70,83,3.85,broken clouds
269,Ilebo,CD,-4.3167,20.5833,71.44,98,100,1.5,light rain
270,Victor Harbor,AU,-35.5667,138.6167,64.8,87,18,7.52,few clouds
271,Westport,US,41.1415,-73.3579,43.18,56,0,1.01,clear sky
272,Shahrud,IR,36.4182,54.9763,37.6,64,2,0.6,clear sky
273,Hasaki,JP,35.7333,140.8333,37.29,43,98,11.54,overcast clouds
274,Mandalgovi,MN,45.7625,106.2708,6.96,49,3,10.0,clear sky
275,Chapais,CA,49.7834,-74.8492,1.18,88,100,8.23,overcast clouds
276,Sinnamary,GF,5.3833,-52.95,80.08,75,14,6.31,few clouds
277,Cayenne,GF,4.9333,-52.3333,82.44,87,100,4.61,overcast clouds
278,Dunedin,NZ,-45.8742,170.5036,53.08,64,36,13.71,scattered clouds
279,Gayeri,BF,12.6497,0.4931,79.39,8,11,8.19,few clouds
280,Aykhal,RU,66.0,111.5,-22.59,100,100,2.21,overcast clouds
281,Berlevag,NO,70.8578,29.0864,31.95,86,40,24.16,scattered clouds
282,Bogense,DK,55.5669,10.0886,45.36,95,40,16.69,scattered clouds
283,Porto Walter,BR,-8.2686,-72.7439,74.16,94,100,3.27,overcast clouds
284,Caluquembe,AO,-13.7833,14.6833,63.14,87,83,9.46,broken clouds
285,Mantua,IT,45.1667,10.7833,37.44,88,5,1.01,clear sky
286,Bengkulu,ID,-3.8004,102.2655,74.57,90,100,4.56,overcast clouds
287,Lagoa,PT,39.05,-27.9833,60.53,78,100,19.24,overcast clouds
288,Sorong,ID,-0.8833,131.25,81.21,77,100,7.25,overcast clouds
289,Loralai,PK,30.3705,68.598,41.81,40,0,3.24,clear sky
290,Businga,CD,3.3333,20.8833,80.15,33,100,2.71,overcast clouds
291,Yumen,CN,40.2833,97.2,16.99,58,67,3.87,broken clouds
292,Tabuk,PH,17.4189,121.4443,66.74,95,96,3.06,overcast clouds
293,Olga,RU,43.7444,135.2892,3.06,63,2,10.94,clear sky
294,Hofn,IS,64.2539,-15.2082,39.22,70,75,16.11,broken clouds
295,Tabuleiro Do Norte,BR,-5.2467,-38.1306,77.56,80,100,8.41,overcast clouds
296,Ambilobe,MG,-13.2,49.05,76.23,94,100,2.35,overcast clouds
297,Turbat,PK,26.0023,63.044,62.29,50,0,1.25,clear sky
298,Mar Del Plata,AR,-38.0023,-57.5575,75.22,80,0,18.01,clear sky
299,Korla,CN,41.7597,86.1469,22.06,60,19,2.75,few clouds
300,Lorengau,PG,-2.0226,147.2712,81.41,76,100,7.9,overcast clouds
301,Bitlis,TR,38.5,42.25,32.5,99,100,4.56,light snow
302,Sumbe,AO,-11.2061,13.8437,75.85,84,100,3.24,overcast clouds
303,Chau Doc,VN,10.7,105.1167,68.65,92,38,3.44,scattered clouds
304,Kautokeino,NO,69.0125,23.0412,27.86,77,100,21.3,overcast clouds
305,Basco,PH,20.4487,121.9702,71.22,68,88,9.37,overcast clouds
306,Pahrump,US,36.2083,-115.9839,63.05,29,3,1.99,clear sky
307,Pevek,RU,69.7008,170.3133,-21.19,95,71,2.35,broken clouds
308,Paris,FR,48.8534,2.3488,41.07,88,100,5.01,overcast clouds
309,Ondangwa,NA,-17.9167,15.95,89.6,12,100,9.22,overcast clouds
310,Hobyo,SO,5.3505,48.5268,77.4,73,100,20.31,overcast clouds
311,Makaha,US,21.4694,-158.2175,76.98,88,20,0.0,few clouds
312,Mahina,PF,-17.5065,-149.489,82.17,78,75,12.66,moderate rain
313,Wollongong,AU,-34.4333,150.8833,69.55,94,38,8.41,light rain
314,Mareeba,AU,-17.0,145.4333,71.44,94,92,1.59,overcast clouds
315,Barra Do Garcas,BR,-15.89,-52.2567,72.18,100,75,0.0,light rain
316,Pemangkat,ID,1.1667,108.9667,75.74,92,100,10.54,overcast clouds
317,Bonavista,CA,48.6499,-53.1147,20.12,56,41,13.09,scattered clouds
318,Fort-Shevchenko,KZ,44.5086,50.263,37.8,77,10,12.77,clear sky
319,Sayyan,YE,15.1718,44.3244,54.0,37,14,3.38,few clouds
320,Bad Bevensen,DE,53.0833,10.5833,39.65,92,16,8.81,few clouds
321,Mkuranga,TZ,-7.118,39.2078,81.59,83,99,7.36,overcast clouds
322,Cururupu,BR,-1.8283,-44.8683,82.74,63,22,5.37,few clouds
323,Walvis Bay,NA,-22.9575,14.5053,65.35,82,33,12.66,scattered clouds
324,Poum,NC,-20.2333,164.0167,80.62,79,5,15.79,clear sky
325,Maarianhamina,AX,60.0973,19.9348,37.26,93,20,8.05,few clouds
326,Vilhena,BR,-12.7406,-60.1458,86.22,58,40,10.36,scattered clouds
327,Makakilo City,US,21.3469,-158.0858,75.61,75,100,3.44,overcast clouds
328,Arraial Do Cabo,BR,-22.9661,-42.0278,80.56,83,75,11.5,broken clouds
329,Roma,US,43.2128,-75.4557,35.46,65,100,4.61,overcast clouds
330,Bure,ET,10.7,37.0667,59.13,70,100,4.59,overcast clouds
331,Severobaykalsk,RU,55.65,109.3167,7.68,96,100,1.43,light snow
332,Holt,US,42.6406,-84.5153,39.07,78,100,4.61,overcast clouds
333,Comodoro Rivadavia,AR,-45.8667,-67.5,93.06,10,0,21.85,clear sky
334,Hamilton,US,39.1834,-84.5333,48.76,50,0,1.99,clear sky
335,Nome,US,64.5011,-165.4064,-5.73,77,0,0.0,clear sky
336,Muddebihal,IN,16.3333,76.1333,68.79,37,5,8.79,clear sky
337,Lazaro Cardenas,MX,17.9583,-102.2,84.36,51,20,10.33,few clouds
338,Krasnyye Baki,RU,57.131,45.1599,-2.27,100,84,3.11,broken clouds
339,Lukaya,UG,-0.1489,31.8748,73.45,72,95,3.6,overcast clouds
340,Beringovskiy,RU,63.05,179.3167,-12.91,94,19,10.76,few clouds
341,Wasilla,US,61.5814,-149.4394,32.4,70,100,5.99,overcast clouds
342,Bousso,TD,10.4795,16.7117,79.59,19,14,6.6,few clouds
343,Margate,GB,51.3813,1.3862,41.88,90,21,1.01,few clouds
344,Cherry Hill,US,39.9348,-75.0307,43.0,45,0,3.0,clear sky
345,Olafsvik,IS,64.8945,-23.7142,36.05,69,100,46.6,overcast clouds
